Title,Book_category,Star_rating,Price,Stock,Quantity
A Light in the Attic,Poetry,Three,51.77,In stock,22
Tipping the Velvet,Historical Fiction,One,53.74,In stock,20
Soumission,Fiction,One,50.1,In stock,20
Sharp Objects,Mystery,Four,47.82,In stock,20
Sapiens: A Brief History of Humankind,History,Five,54.23,In stock,20
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,17.93,In stock,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,13.99,In stock,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,57.25,In stock,19
"In a Dark, Dark Wood",Mystery,One,19.63,In stock,18
"We Love You, Charlie Freeman",Fiction,Five,50.27,In stock,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,44.18,In stock,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,25.52,In stock,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,56.41,In stock,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,Four,23.89,In stock,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,20.59,In stock,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,49.05,In stock,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,25.02,In stock,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,51.04,In stock,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,50.4,In stock,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,13.61,In stock,16
"Pop Gun War, Volume 1: Gift",Sequential Art,One,18.97,In stock,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,15.44,In stock,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,14.02,In stock,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,46.91,In stock,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,45.61,In stock,16
