Title,Book_category,Star_rating,Price,Stock,Quantity,Source_File,Sharp Objects,Mystery,Four,47.82,In stock,20,Soumission,Fiction,One,50.1,Issue_Date,Return_Date,Random_Book_Sum
A Light in the Attic,Poetry,Three,51.77,In stock,22.0,books_scraped.csv,,,,,,,,,,,2024-11-02,2024-11-05,10.0
Tipping the Velvet,Historical Fiction,One,53.74,In stock,20.0,books_scraped.csv,,,,,,,,,,,2024-11-29,2024-12-19,1.0
Soumission,Fiction,One,50.1,In stock,20.0,books_scraped.csv,,,,,,,,,,,2024-12-09,2024-12-23,10.0
Sharp Objects,Mystery,Four,47.82,In stock,20.0,books_scraped.csv,,,,,,,,,,,2025-07-18,2025-08-13,69.0
Sapiens: A Brief History of Humankind,History,Five,54.23,In stock,20.0,books_scraped.csv,,,,,,,,,,,2025-02-08,2025-03-10,14.0
The Requiem Red,Young Adult,,22.65,In stock,19.0,,,,,,,,,,,,2024-11-02,2024-11-28,23.0
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,33.34,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-08-04,2025-08-12,71.0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,17.93,In stock,19.0,books_scraped.csv,,,,,,,,,,,2024-12-26,2025-01-07,86.0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,22.6,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-01-03,2025-01-27,82.0
The Black Maria,Poetry,One,52.15,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-02-21,2025-02-26,53.0
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,13.99,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-02-20,2025-02-25,13.0
Shakespeare's Sonnets,Poetry,Four,20.66,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-08-14,2025-08-21,23.0
Set Me Free,Young Adult,Five,17.46,In stock,19.0,books_scraped.csv,,,,,,,,,,,2024-12-22,2024-12-29,59.0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,Five,52.29,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-09-24,2025-10-23,33.0
Rip it Up and Start Again,Music,Five,35.02,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-07-14,2025-08-05,69.0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,57.25,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-04-14,2025-05-13,90.0
Olio,Poetry,One,23.88,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-07-18,2025-08-10,79.0
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,37.59,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-05-29,2025-06-03,28.0
Libertarianism for Beginners,Politics,Two,51.33,In stock,,books_scraped.csv,,,,,,,,,,,2025-03-27,2025-03-28,53.0
It's Only the Himalayas,Travel,Two,45.17,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-10-08,2025-10-22,83.0
In Her Wake,Thriller,One,12.84,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-04-15,2025-04-18,32.0
How Music Works,Music,Two,37.32,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-01-21,2025-02-12,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,30.52,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-02-20,2025-02-26,19.0
Chase Me (Paris Nights #2),Romance,Five,25.27,In stock,,books_scraped.csv,,,,,,,,,,,2024-12-04,2024-12-20,1.0
Black Dust,Romance,Five,34.53,In stock,19.0,books_scraped.csv,,,,,,,,,,,2024-12-02,2025-01-01,5.0
Birdsong: A Story in Pictures,Childrens,Three,54.64,In stock,19.0,,,,,,,,,,,,2024-12-14,2025-01-02,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,22.5,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-01-08,2025-01-08,72.0
Aladdin and His Wonderful Lamp,Default,Three,53.13,In stock,19.0,books_scraped.csv,,,,,,,,,,,2025-04-04,2025-04-27,75.0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,,40.3,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-02-24,2025-03-13,87.0
Wall and Piece,Art,Four,44.18,,18.0,books_scraped.csv,,,,,,,,,,,2025-03-03,2025-03-26,93.0
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,17.66,In stock,18.0,books_scraped.csv,,,,,,,,,,,,2025-09-23,99.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,31.05,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-06-18,2025-06-23,30.0
The Elephant Tree,Thriller,Five,23.82,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-08-14,2025-08-25,30.0
The Bear and the Piano,Childrens,One,36.89,In stock,18.0,books_scraped.csv,,,,,,,,,,,2024-12-07,2024-12-23,25.0
Sophie's World,Philosophy,Five,,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-09-19,2025-09-20,60.0
Penny Maybe,Default,Three,33.29,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-08-06,2025-08-08,99.0
Maude (1883-1993):She Grew Up with the country,Default,Two,18.02,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-05-06,2025-05-14,7.0
"In a Dark, Dark Wood",Mystery,One,19.63,In stock,18.0,books_scraped.csv,,,,,,,,,,,2024-12-08,2024-12-11,15.0
Behind Closed Doors,Thriller,Four,52.22,In stock,18.0,books_scraped.csv,,,,,,,,,,,2025-01-06,2025-02-03,42.0
You can't bury them all: Poems,Poetry,Two,33.63,In stock,17.0,books_scraped.csv,,,,,,,,,,,2024-11-15,2024-12-04,84.0
Slow States of Collapse: Poems,Poetry,Three,57.31,,17.0,books_scraped.csv,,,,,,,,,,,2025-07-19,2025-08-16,69.0
Reasons to Stay Alive,Nonfiction,Two,26.41,In stock,17.0,books_scraped.csv,,,,,,,,,,,2024-12-20,2025-01-18,43.0
Private Paris (Private #10),Fiction,Five,47.61,In stock,17.0,books_scraped.csv,,,,,,,,,,,2025-03-05,2025-03-10,99.0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,,23.11,In stock,17.0,books_scraped.csv,,,,,,,,,,,2025-01-02,2025-01-12,75.0
